program_name,variant_type,op_count_or_size,poly_modulus_degree,coeff_modulus_size_bits,plain_modulus_bit_size,coeff_modulus_prime_bits_csv,depth,mul_depth,ct_ct_muls,relinearizations,rotations,ct_ct_adds,pl_ct_muls,pl_ct_adds,median_execution_time_us
rotate,vector,80,8192,130,20,"40,30,30,30",1,0,0,0,1,0,0,0,4561
rotate,vector,100,8192,130,20,"40,30,30,30",1,0,0,0,1,0,0,0,4558
rotate,vector,250,8192,130,20,"40,30,30,30",1,0,0,0,1,0,0,0,4565
rotate,vector,500,8192,130,20,"40,30,30,30",1,0,0,0,1,0,0,0,4559
rotate,vector,750,8192,130,20,"40,30,30,30",1,0,0,0,1,0,0,0,4556
rotate,vector,1000,8192,130,20,"40,30,30,30",1,0,0,0,1,0,0,0,4562
rotate,vector,1,8192,130,25,"40,30,30,30",1,0,0,0,1,0,0,0,4556
rotate,vector,10,8192,130,25,"40,30,30,30",1,0,0,0,1,0,0,0,4561
rotate,vector,50,8192,130,25,"40,30,30,30",1,0,0,0,1,0,0,0,4555
rotate,vector,80,8192,130,25,"40,30,30,30",1,0,0,0,1,0,0,0,4559
rotate,vector,100,8192,130,25,"40,30,30,30",1,0,0,0,1,0,0,0,4564
rotate,vector,250,8192,130,25,"40,30,30,30",1,0,0,0,1,0,0,0,4553
rotate,vector,500,8192,130,25,"40,30,30,30",1,0,0,0,1,0,0,0,4558
rotate,vector,750,8192,130,25,"40,30,30,30",1,0,0,0,1,0,0,0,4562
rotate,vector,1000,8192,130,25,"40,30,30,30",1,0,0,0,1,0,0,0,4551
rotate,vector,1,16384,160,18,"40,30,30,30,30",1,0,0,0,1,0,0,0,14190
rotate,vector,10,16384,160,18,"40,30,30,30,30",1,0,0,0,1,0,0,0,14210
rotate,vector,50,16384,160,18,"40,30,30,30,30",1,0,0,0,1,0,0,0,14193
rotate,vector,80,16384,160,18,"40,30,30,30,30",1,0,0,0,1,0,0,0,14168
rotate,vector,100,16384,160,18,"40,30,30,30,30",1,0,0,0,1,0,0,0,14200
rotate,vector,250,16384,160,18,"40,30,30,30,30",1,0,0,0,1,0,0,0,14198
